ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Wholly irrigated holdings,Area of wholly irrigated holdings,Wholly unirrigated holdings,Area of wholly unirrigated holdings,Partially irrigated holdings,Irrigated area of partially irrigated holdings,Area of partially irrigated holdings,Holdings receiving irrigation,Net irrigated area of holdings receiving irrigation
13463,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,2,20.69,0,0,0,0,0
13464,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,574,1411.949,0,0,0,0,0
13465,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,405,1417.292,10,0.694,36.275,10,0.694
13466,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,23,102.746,216,931.18,0,0,0,23,102.746
13467,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,120,686.934,0,0,0,0,0
13468,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,6,50.686,0,0,0,0,0
13469,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
13470,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,5313,1806.887,345,12.351,96.98,345,12.351
13471,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,2534,1851.386,0,0,0,0,0
13472,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,3044,4595.037,0,0,0,0,0
13473,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,6,71.24,0,0,0,0,0
13474,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,1539,3809.472,0,0,0,0,0
13475,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,831,2819.043,0,0,0,0,0
13476,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,501,2170.011,0,0,0,0,0
13477,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,251,1518.933,1,5.72,8.579,1,5.72
13478,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,28,237.841,0,0,0,0,0
13479,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,1,20.33,0,0,0,0,0
13480,India,18,Assam,301,Sonitpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,3103,1062.11,0,0,0,0,0
13481,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,0,0,10,8.56,0,0,0,0,0
13482,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,0,0,21,29.594,0,0,0,0,0
13483,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,2,36.332,44,712.093,0,0,0,2,36.332
13484,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,1,2.832,17,38.976,0,0,0,1,2.832
13485,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,11,37.44,0,0,0,0,0
13486,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,6,27.591,0,0,0,0,0
13487,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,1,6.45,0,0,0,0,0
13488,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,12,99.741,0,0,0,0,0
13489,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,23,4398.879,295,42296.536,0,0,0,23,4398.879
13490,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,0,0,11,3.105,0,0,0,0,0
13491,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,284,231.903,17802,12845.082,73,46.115,58.672,357,278.018
13492,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,320,388.632,18835,26474.773,142,138.141,192.37,462,526.773
13493,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,2,21.262,199,2378.958,12,146.523,172.934,14,167.785
13494,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,46,108.358,6403,15473.452,84,140.633,203.355,130,248.991
13495,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,5,15.534,3730,12623.083,31,67.188,106.406,36,82.722
13496,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,0,0,1682,7422.103,18,67.55,83.455,18,67.55
13497,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,33,214.984,1611,9774.552,51,236.718,300.747,84,451.702
13498,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,0,0,288,2432.975,0,0,0,0,0
13499,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,12,438.316,30,754.239,0,0,0,12,438.316
13500,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,109,39.741,36079,12126.812,110,32.568,46.853,219,72.309
13501,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,702,574.759,0,0,0,0,0
13502,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,7,9.247,186,258.705,0,0,0,7,9.247
13503,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
13504,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,65,161.886,0,0,0,0,0
13505,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,12,42.225,0,0,0,0,0
13506,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,8,35.512,0,0,0,0,0
13507,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,3,12.273,17.97,3,12.273
13508,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
13509,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,1,21.01,0,0,0,0,0
13510,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,394,92.59,0,0,0,0,0
13511,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,184,164.776,1301,956.454,0,0,0,184,164.776
13512,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,110,146.952,1503,2168.748,3,2.588,3.722,113,149.54
13513,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,42,510.238,4,7.797,44.445,4,7.797
13514,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,36,75.887,1100,2619.93,5,5.332,13.822,41,81.219
13515,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,14,45.818,613,2120.51,14,14.332,46.982,28,60.15
13516,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,342,1485.45,20,27.394,89.687,20,27.394
13517,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,346,2101.028,6,18.193,29.769,6,18.193
13518,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,4,35.066,78,667.397,0,0,0,4,35.066
13519,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,4,102.96,0,0,0,0,0
13520,India,18,Assam,302,Tinsukia,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,13,2.96,872,224.303,0,0,0,13,2.96
13521,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
13522,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
13523,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
13524,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
13525,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
13526,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
13527,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
13528,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
13529,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,0,0,0,0,0,0,0
13530,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
13531,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,445,371.849,6444,4674.869,0,0,0,445,371.849
13532,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,240,371.865,2868,3905.357,0,0,0,240,371.865
13533,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,4,44.297,0,0,0,0,0
13534,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,38,94.518,823,1723.367,0,0,0,38,94.518
13535,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,21,79.147,241,707.036,0,0,0,21,79.147
13536,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,7,32.276,66,259.898,0,0,0,7,32.276
13537,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,0,0,73,479.249,0,0,0,0,0
13538,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,0,0,12,95.953,0,0,0,0,0
13539,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
13540,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,666,331.634,5391,1543.99,0,0,0,666,331.634
13541,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,88,64.972,658,431.309,0,0,0,88,64.972
13542,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,54,81.586,381,502.738,0,0,0,54,81.586
13543,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
13544,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,30,71.459,131,236.601,0,0,0,30,71.459
13545,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,18,58.225,30,89.939,0,0,0,18,58.225
13546,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,7,31.105,11,39.66,0,0,0,7,31.105
13547,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,2,12.354,1,5.411,0,0,0,2,12.354
13548,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,2,17.441,0,0,0,0,0,2,17.441
13549,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
13550,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,39,13.53,705,198.503,0,0,0,39,13.53
13551,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,818,601.332,6226,4076.59,0,0,0,818,601.332
13552,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,846,1287.329,3059,4407.746,0,0,0,846,1287.329
13553,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,1,10.596,0,0,0,0,0,1,10.596
13554,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,166,412.537,1513,3485.57,0,0,0,166,412.537
13555,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,80,276.221,512,1579.827,0,0,0,80,276.221
13556,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,41,180.186,186,723.733,0,0,0,41,180.186
13557,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,37,226.55,44,221.985,0,0,0,37,226.55
13558,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,9,78.654,12,89.471,0,0,0,9,78.654
13559,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
13560,India,18,Assam,612,Chirang,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,2517,842.334,8875,2278.747,0,0,0,2517,842.334
13561,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,27,16.591,33,25.945,9,4.264,5.259,36,20.855
13562,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,0,0,32,42.367,25,17.986,35.96,25,17.986
13563,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,44,699.034,1,8.552,17.103,1,8.552
13564,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,0,0,37,90.17,0,0,0,0,0
13565,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,9,29.976,0,0,0,0,0
13566,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0,12,35.561,52.361,12,35.561
13567,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,21,125.153,0,0,0,0,0
13568,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,15,125.258,6,25.481,49.168,6,25.481
13569,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,12,290.007,12,232.874,409.393,12,232.874
13570,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,0,0,94,24.838,0,0,0,0,0
13571,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,41,29.05,9056,6477.057,971,631.942,775.533,1012,660.992
13572,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,114,188.37,4287,6028.724,2119,2098.691,3419.906,2233,2287.061
13573,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,0,0,4,32.307,64.614,4,32.307
13574,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,56,157.275,2100,5217.743,1216,2161.634,3170.162,1272,2318.909
13575,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,92,336.091,1030,3478.452,739,1757.513,2611.492,831,2093.604
13576,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,7,32.892,316,1384.681,185,554.521,818.987,192,587.413
13577,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,20,136.625,281,1657.085,173,631.666,996.728,193,768.291
13578,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,2,12.268,51,406.205,16,79.411,128.509,18,91.679
13579,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,1,14.502,29.003,1,14.502
13580,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,71,23.509,16007,5769.341,832,301.031,525.208,903,324.54
13581,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,23,17.994,1151,668.303,85,29.425,55.009,108,47.419
13582,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,5,7.415,747,921.238,158,167.097,223.465,163,174.512
13583,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,1,7.498,14.995,1,7.498
13584,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,213,480.386,198,395.081,508.701,198,395.081
13585,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,96,294.136,98,251.159,347.219,98,251.159
13586,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,55,233.198,50,168.119,223.411,50,168.119
13587,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,104,524.429,80,430.67,552.796,80,430.67
13588,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,21,184.213,22,97.525,195.038,22,97.525
13589,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,1,25.004,0,0,0,0,0
13590,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,1809,452.832,26,18.382,36.668,26,18.382
13591,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,492,332.516,9995,6555.12,1207,560.144,820.481,1699,892.66
13592,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,4159,6200.12,1736,1736.906,2443.773,1736,1736.906
13593,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,1,14.482,4,30.402,60.804,4,30.402
13594,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,2378,5611.199,1163,1839.253,2702.291,1163,1839.253
13595,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,1662,5329.302,799,1649.699,2646.358,799,1649.699
13596,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,1289,4609.391,593,1663.477,2560.951,593,1663.477
13597,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,414,2514.143,253,815.789,1420,253,815.789
13598,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,44,375.869,4,26.009,33.198,4,26.009
13599,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,2,25.106,50.211,2,25.106
13600,India,18,Assam,616,Baksa,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,20405,5236.13,268,29.702,79.322,268,29.702
13601,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,2,0.912,12,7.475,1,1.296,1.397,3,2.208
13602,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,0,0,9,11.832,2,2.721,3.72,2,2.721
13603,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,1,9.495,0,0,0,0,0,1,9.495
13604,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,0,0,5,13.047,0,0,0,0,0
13605,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,1,3.732,0,0,0,0,0
13606,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
13607,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0,1,2.028,5.85,1,2.028
13608,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,1,8.72,0,0,0,0,0
13609,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,15,3453.221,37,8891.638,0,0,0,15,3453.221
13610,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,0,0,54,14.439,2,0.555,0.769,2,0.555
13611,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,331,231.017,7594,4703.118,1403,625.296,973.63,1734,856.313
13612,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,411,573.832,7568,9805.681,1764,1419.346,2214.738,2175,1993.178
13613,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,5,54.885,41,457.559,33,231.755,441.928,38,286.64
13614,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,32,78.77,2854,6362.612,559,884.914,1259.716,591,963.684
13615,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,63,225.173,1327,4131.83,397,953.425,1300.893,460,1178.598
13616,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,7,31.662,773,3177.816,215,720.401,909.96,222,752.063
13617,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,0,0,502,2822.856,217,985.925,1253.373,217,985.925
13618,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,0,0,108,785.018,68,440.527,564.306,68,440.527
13619,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,13,512.114,0,0,0,0,0
13620,India,18,Assam,617,Udalguri,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,807,156.644,24261,5822.683,5253,890.698,1505.953,6060,1047.342
